NaN,가수,작사,작곡,편곡
38,가인,윤사라,윤일상,NaN
39,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
40,Jason Mraz,NaN,NaN,NaN
41,이하이,Norman Gimbel,Norman Gimbel,NaN
42,린,김박사,김박사,김박사
43,이미쉘,류재현,류재현,NaN
44,어반 자카파,NaN,NaN,NaN
45,허각,NaN,NaN,NaN
46,이현,개미,개미,CSMUSIC&
47,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
48,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
49,나비,NaN,NaN,NaN
1,버스커 버스커,장범준,장범준,장범준
2,넬,NaN,NaN,NaN
3,버스커 버스커,장범준,장범준,장범준
4,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
5,버스커 버스커,장범준,장범준,장범준
6,버스커 버스커,장범준,장범준,장범준
7,씨스타,용감한 형제,용감한 형제,용감한 형제
8,버스커 버스커,장범준,장범준,장범준
9,버스커 버스커,장범준,장범준,장범준
10,버스커 버스커,장범준,장범준,장범준
11,넬,NaN,NaN,NaN
12,넬,NaN,NaN,NaN
13,태연 ,박종미,박해운,박해운
14,양파,강은경,조영수,조영수
15,버스커 버스커,장범준,장범준,장범준
16,허각,NaN,NaN,NaN
17,버스커 버스커,장범준,김지수,NaN
18,넬,NaN,NaN,NaN
19,버스커 버스커,장범준,장범준,장범준
20,넬,NaN,NaN,NaN
21,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
22,넬,NaN,NaN,NaN
23,버스커 버스커,장범준,장범준,NaN
24,넬,NaN,NaN,NaN
25,케이윌,박민정,이상준,이상준
26,이하이,Keyshia Cole,Keyshia Cole,NaN
27,넬,NaN,NaN,NaN
28,SHINee ,조윤경,Thomas Troelsen,Thomas Troelsen
29,넬,NaN,NaN,NaN
30,넬,NaN,NaN,NaN
31,2AM,방시혁,김도훈,김도훈
32,에일리,휘성,이기,NaN
33,CNBLUE,한성호,김도훈,김도훈
34,BIGBANG,TEDDY,TEDDY,TEDDY
35,수펄스,NaN,NaN,NaN
36,배치기,NaN,NaN,NaN
37,신화,이민우,Andrew Jackson,Andrew Jackson
38,miss A,박진영,박진영,박진영
39,존 박,존 박,Andy Platts,NaN
40,MC 스나이퍼,MC 스나이퍼,이루마,이루마
41,티파니,안진희,류원광,NaN
42,김수현,김창락,김창락,김창락
43,백지영,박정욱,NaN,NaN
44,바비 킴,타블로,PK,PK
45,린,윤민수,윤민수,KingMing
46,서인국,다이나믹 듀오,Drew Ryan Scott,김두현
47,Jason Mraz,NaN,NaN,NaN
48,박지민,NaN,NaN,NaN
1,버스커 버스커,장범준,장범준,장범준
2,씨스타,용감한 형제,용감한 형제,용감한 형제
3,버스커 버스커,장범준,장범준,장범준
4,버스커 버스커,장범준,장범준,장범준
5,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
6,버스커 버스커,장범준,장범준,장범준
7,넬,NaN,NaN,NaN
8,이하이,심현보,박근태,박근태
9,버스커 버스커,장범준,장범준,장범준
10,태연 ,박종미,박해운,박해운
11,Maroon 5,NaN,NaN,NaN
12,버스커 버스커,장범준,장범준,장범준
13,버스커 버스커,장범준,장범준,장범준
14,버스커 버스커,장범준,장범준,장범준
15,버스커 버스커,장범준,김지수,NaN
16,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
17,백아연,윤사라,윤일상,NaN
18,양파,강은경,조영수,조영수
19,허각,NaN,NaN,NaN
20,버스커 버스커,장범준,장범준,장범준
21,케이윌,박민정,이상준,이상준
22,씨스타,이단옆차기,이단옆차기,이단옆차기
23,버스커 버스커,장범준,장범준,NaN
24,Jason Mraz,NaN,NaN,NaN
25,SHINee ,조윤경,Thomas Troelsen,Thomas Troelsen
26,걸스데이,강지원,강지원,강지원
27,손승연,정지찬,정지찬,NaN
28,MC 스나이퍼,MC 스나이퍼,이루마,이루마
29,에일리,휘성,이기,NaN
30,노을,최규성,최규성,최규성
31,2AM,방시혁,김도훈,김도훈
32,BIGBANG,TEDDY,TEDDY,TEDDY
33,서인국,다이나믹 듀오,Drew Ryan Scott,김두현
34,씨스타,Rovin,Rovin,Rovin
35,CNBLUE,한성호,김도훈,김도훈
36,배치기,NaN,NaN,NaN
37,더 원,양정승,양정승,양정승
38,Jason Mraz,NaN,NaN,NaN
39,miss A,박진영,박진영,박진영
40,써니힐,김이나,이민수,이민수
41,데이브레이크,NaN,NaN,NaN
42,넬,NaN,NaN,NaN
43,이하이,Keyshia Cole,Keyshia Cole,NaN
44,서현 ,NaN,NaN,NaN
45,수펄스,NaN,NaN,NaN
46,신화,이민우,Andrew Jackson,Andrew Jackson
47,존 박,존 박,Andy Platts,NaN
48,에이핑크,박초롱,김진환,NaN
49,백지영,박정욱,NaN,NaN
1,씨스타,용감한 형제,용감한 형제,용감한 형제
2,버스커 버스커,장범준,장범준,장범준
3,박진영,심은지,NaN,NaN
4,버스커 버스커,장범준,장범준,장범준
5,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
6,버스커 버스커,장범준,장범준,장범준
7,페퍼톤스,페퍼톤스,페퍼톤스,페퍼톤스
8,Maroon 5,NaN,NaN,NaN
9,이하이,심현보,박근태,박근태
10,버스커 버스커,장범준,장범준,장범준
11,태연 ,박종미,박해운,박해운
12,노을,최규성,최규성,최규성
13,버스커 버스커,장범준,장범준,장범준
14,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
15,써니힐,김이나,이민수,이민수
16,프라이머리,개코,프라이머리,프라이머리
17,걸스데이,강지원,강지원,강지원
18,허각,NaN,NaN,NaN
19,버스커 버스커,장범준,장범준,장범준
20,양파,강은경,조영수,조영수
21,버스커 버스커,장범준,장범준,장범준
22,넬,NaN,NaN,NaN
23,버스커 버스커,장범준,장범준,장범준
24,백아연,윤사라,윤일상,NaN
25,SHINee ,조윤경,Thomas Troelsen,Thomas Troelsen
26,페퍼톤스,페퍼톤스,페퍼톤스,페퍼톤스
27,버스커 버스커,장범준,장범준,장범준
28,버스커 버스커,장범준,김지수,NaN
29,씨스타,이단옆차기,이단옆차기,이단옆차기
30,케이윌,박민정,이상준,이상준
31,에일리,휘성,이기,NaN
32,아이비,슈퍼창따이,슈퍼창따이,슈퍼창따이
33,BIGBANG,TEDDY,TEDDY,TEDDY
34,버스커 버스커,장범준,장범준,NaN
35,Jason Mraz,NaN,NaN,NaN
36,손승연,정지찬,정지찬,NaN
37,페퍼톤스,페퍼톤스,페퍼톤스,신재평
38,페퍼톤스,페퍼톤스,페퍼톤스,신재평
39,2AM,방시혁,김도훈,김도훈
40,백지영,박정욱,NaN,NaN
41,페퍼톤스,페퍼톤스,페퍼톤스,페퍼톤스
42,이영현,NaN,NaN,NaN
43,페퍼톤스,페퍼톤스,페퍼톤스,페퍼톤스
44,씨스타,Rovin,Rovin,Rovin
45,이하이,NaN,NaN,NaN
46,페퍼톤스,페퍼톤스,페퍼톤스,페퍼톤스
47,miss A,박진영,박진영,박진영
48,이재훈,이도연,신형,신형
49,소녀시대-태티서 ,서지음,Brandon Fraley,Sunset Blvd
50,프라이머리,범키,프라이머리,프라이머리
1,백지영,이단옆차기,이단옆차기,이단옆차기
2,아이유,아이유,아이유,G.고릴라
3,소녀시대-태티서 ,서지음,Brandon Fraley,Sunset Blvd
4,씨스타,용감한 형제,용감한 형제,용감한 형제
5,박진영,박진영,박진영,박진영
6,버스커 버스커,장범준,장범준,장범준
7,아이유,김이나,박근태,김도훈
8,울랄라세션,싸이 ,Kenny Loggins,유건형
9,"알렉스, 호란",NaN,NaN,NaN
10,정인,이적,이적,NaN
11,버스커 버스커,장범준,장범준,장범준
12,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
13,박진영,심은지,NaN,NaN
14,에이핑크,Rado,Rado,Rado
15,아이유,김은수,심은지,심은지
16,버스커 버스커,장범준,장범준,장범준
17,소녀시대-태티서 ,Joy Factory,Jimmy Richard,Jimmy Richard
18,아이비,슈퍼창따이,슈퍼창따이,슈퍼창따이
19,버스커 버스커,장범준,장범준,장범준
20,프라이머리,개코,프라이머리,프라이머리
21,마이티 마우스,상추,라이머,동네형
22,울랄라세션,이현도,이현도,이현도
23,인피니트,송수윤,한재호,한보람
24,Maroon 5,NaN,NaN,NaN
25,태연 ,박종미,박해운,박해운
26,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
27,이하이,심현보,박근태,박근태
28,이수영,이선희,이선희,안준영
29,디셈버,안영민,조영수,NaN
30,버스커 버스커,장범준,장범준,장범준
31,소녀시대-태티서 ,김정배,Kenzie,Kenzie
32,양파,강은경,조영수,조영수
33,버스커 버스커,장범준,장범준,장범준
34,걸스데이,강지원,강지원,강지원
35,박정현,하림,NaN,NaN
36,울랄라세션,김지수,김지수,김지수
37,노라조,이영준,J.ust_Def,NaN
38,버스커 버스커,장범준,장범준,장범준
39,손승연,이경애,김이환,NaN
40,Flo Rida,NaN,NaN,NaN
41,이은미,윤사라,신재홍,김승현
42,버스커 버스커,장범준,장범준,장범준
43,XIA,전해성,전해성,전해성
44,이하이,NaN,NaN,NaN
45,백지영,박정욱,NaN,NaN
46,이수영,NaN,NaN,NaN
47,허각,NaN,NaN,NaN
48,노을,최규성,최규성,최규성
49,버스커 버스커,장범준,장범준,장범준
50,양파,k-Smith,조영수,조영수
1,아이유,김이나,박근태,김도훈
2,백지영,이단옆차기,이단옆차기,이단옆차기
3,소녀시대-태티서 ,서지음,Brandon Fraley,Sunset Blvd
4,울랄라세션,싸이 ,Kenny Loggins,유건형
5,씨스타,용감한 형제,용감한 형제,용감한 형제
6,아이유,김은수,심은지,심은지
7,아이유,아이유,아이유,G.고릴라
8,인피니트,송수윤,한재호,한재호
9,버스커 버스커,장범준,장범준,장범준
10,박진영,박진영,박진영,박진영
11,에이핑크,Rado,Rado,Rado
12,마이티 마우스,상추,라이머,동네형
13,백지영,이단옆차기,이단옆차기,이단옆차기
14,울랄라세션,이지은,윤명선,김지수
15,버스커 버스커,장범준,장범준,장범준
16,리쌍,조영남,조영남,NaN
17,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
18,울랄라세션,윤미래,도니제이,에니악
19,울랄라세션,이현도,이현도,이현도
20,정인,이적,이적,NaN
21,김연우,이영훈,이영훈,돈스파이크
22,버스커 버스커,장범준,장범준,장범준
23,XIA,전해성,전해성,전해성
24,버스커 버스커,장범준,장범준,장범준
25,박진영,심은지,NaN,NaN
26,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
27,디셈버,안영민,조영수,NaN
28,양파,k-Smith,조영수,조영수
29,Maroon 5,NaN,NaN,NaN
30,"알렉스, 호란",NaN,NaN,NaN
31,이수영,이선희,이선희,안준영
32,아이비,슈퍼창따이,슈퍼창따이,슈퍼창따이
33,소녀시대-태티서 ,Joy Factory,Jimmy Richard,Jimmy Richard
34,태연 ,박종미,박해운,박해운
35,XIA,Juno,XIA,XIA
36,버스커 버스커,장범준,장범준,장범준
37,김건모,유재하,유재하,김건모
38,인피니트,김이나,유에,NaN
39,이은미,윤사라,신재홍,김승현
40,프라이머리,개코,프라이머리,프라이머리
41,인피니트,송수윤,한재호,유에
42,울랄라세션,Brian Kim,Quincy Jones,김지수
43,울랄라세션,김현철,김현철,김지수
44,걸스데이,강지원,강지원,강지원
45,인피니트,송수윤,고남수,고남수
46,울랄라세션,김지수,김지수,김지수
47,소녀시대-태티서 ,김정배,Kenzie,Kenzie
48,버스커 버스커,장범준,장범준,장범준
49,손승연,NaN,NaN,NaN
1,아이유,김이나,박근태,김도훈
2,리쌍,조영남,조영남,NaN
3,리쌍,개리,길,NaN
4,백지영,이단옆차기,이단옆차기,이단옆차기
5,소녀시대-태티서 ,서지음,Brandon Fraley,Sunset Blvd
6,지나,최갑원,김도훈,김도훈
7,백지영,이단옆차기,이단옆차기,이단옆차기
8,씨스타,용감한 형제,용감한 형제,용감한 형제
9,울랄라세션,싸이 ,Kenny Loggins,유건형
10,인피니트,송수윤,한재호,한재호
11,울랄라세션,이지은,윤명선,김지수
12,버스커 버스커,장범준,장범준,장범준
13,박진영,박진영,박진영,박진영
14,에이핑크,Rado,Rado,Rado
15,마이티 마우스,상추,라이머,동네형
16,아이유,아이유,아이유,G.고릴라
17,아이유,김은수,심은지,심은지
18,울랄라세션,윤미래,도니제이,에니악
19,버스커 버스커,장범준,장범준,장범준
20,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
21,리쌍,개리,길,NaN
22,김연우,이영훈,이영훈,돈스파이크
23,버스커 버스커,장범준,장범준,장범준
24,디셈버,안영민,조영수,NaN
25,리쌍,김종진,김종진,NaN
26,버스커 버스커,장범준,장범준,장범준
27,티아라,NaN,NaN,NaN
28,박진영,심은지,NaN,NaN
29,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
30,정인,이적,이적,NaN
31,리쌍,개리,길,NaN
32,Maroon 5,NaN,NaN,NaN
33,태연 ,박종미,박해운,박해운
34,리쌍,개리,길,NaN
35,투빅,안영민,조영수,조영수
36,B1A4,NaN,NaN,NaN
37,버스커 버스커,장범준,장범준,장범준
38,김건모,유재하,유재하,김건모
39,2PM,박진영,박진영,박진영
40,서영은,전승우,이현정,전승우
41,리쌍,개리,길,NaN
42,리쌍,개리,길,NaN
43,울랄라세션,이현도,이현도,이현도
44,양파,k-Smith,조영수,조영수
45,리쌍,NaN,NaN,NaN
46,이영현,이영현,이영현,NaN
47,박상민,이건우,임기훈,서재하
48,"알렉스, 호란",NaN,NaN,NaN
1,리쌍,개리,길,NaN
2,아이유,김이나,박근태,김도훈
3,리쌍,김종진,김종진,NaN
4,형돈이와 대준이,NaN,NaN,NaN
5,리쌍,개리,길,NaN
6,지나,최갑원,김도훈,김도훈
7,소녀시대-태티서 ,서지음,Brandon Fraley,Sunset Blvd
8,백지영,이단옆차기,이단옆차기,이단옆차기
9,정인,윤종신,이근호,조정치
10,리쌍,조영남,조영남,NaN
11,씨스타,용감한 형제,용감한 형제,용감한 형제
12,리쌍,개리,길,NaN
13,인피니트,송수윤,한재호,한재호
14,프라이머리,최자,프라이머리,프라이머리
15,백지영,이단옆차기,이단옆차기,이단옆차기
16,리쌍,개리,길,NaN
17,울랄라세션,싸이 ,Kenny Loggins,유건형
18,에이핑크,Rado,Rado,Rado
19,버스커 버스커,장범준,장범준,장범준
20,박진영,박진영,박진영,박진영
21,B1A4,NaN,NaN,NaN
22,마이티 마우스,상추,라이머,동네형
23,애즈원,윤사라,심상원,NaN
24,리쌍,개리,길,NaN
25,틴 탑,용감한 형제,용감한 형제,용감한 형제
26,아이유,아이유,아이유,G.고릴라
27,김태우,한성호,한승훈,한승훈
28,리쌍,개리,길,NaN
29,BIGBANG,G-DRAGON,G-DRAGON,P.K
30,버스커 버스커,장범준,장범준,장범준
31,티아라,NaN,NaN,NaN
32,리쌍,NaN,NaN,NaN
33,포미닛,신사동 호랭이,신사동 호랭이,신사동 호랭이
34,울랄라세션,이지은,윤명선,김지수
35,리쌍,개리,Double Dragon,NaN
36,아이유,김은수,심은지,심은지
37,디셈버,안영민,조영수,NaN
38,리쌍,이남이,이남이,NaN
39,버스커 버스커,장범준,장범준,장범준
40,Maroon 5,NaN,NaN,NaN
41,김연우,이영훈,이영훈,돈스파이크
42,박완규,정호승,백창우,조필성
43,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
44,BIGBANG,G-DRAGON,DEE. P,DEE. P
45,원더걸스,박진영,박진영,박진영
46,버스커 버스커,장범준,장범준,장범준
47,써니힐,Night & Day,Night & Day,NaN
48,BIGBANG,G-DRAGON,G-DRAGON,함승천
1,BIGBANG,G-DRAGON,G-DRAGON,P.K
2,원더걸스,박진영,박진영,박진영
3,BIGBANG,G-DRAGON,DEE. P,DEE. P
4,형돈이와 대준이,NaN,NaN,NaN
5,BIGBANG,G-DRAGON,G-DRAGON,함승천
6,BIGBANG,G-DRAGON,TEDDY,TEDDY
7,에피톤 프로젝트,NaN,NaN,NaN
8,BIGBANG,G-DRAGON,Boys Noize,Boys Noize
9,소녀시대-태티서 ,서지음,Brandon Fraley,Sunset Blvd
10,백지영,이단옆차기,이단옆차기,이단옆차기
11,원더걸스,핫펠트,핫펠트,이우민 'Collapsedone'
12,아이유,김이나,박근태,김도훈
13,씨스타,용감한 형제,용감한 형제,용감한 형제
14,버벌진트,버벌진트,버벌진트,버벌진트
15,지나,최갑원,김도훈,김도훈
16,프라이머리,최자,프라이머리,프라이머리
17,버스커 버스커,장범준,장범준,장범준
18,인피니트,송수윤,한재호,한재호
19,백지영,이단옆차기,이단옆차기,이단옆차기
20,에피톤 프로젝트,NaN,NaN,NaN
21,원더걸스,유빈,Katreese Barnes,Katreese Barnes
22,국카스텐,이장희,이장희,국카스텐
23,리쌍,개리,길,NaN
24,에피톤 프로젝트,NaN,NaN,NaN
25,형돈이와 대준이,NaN,NaN,NaN
26,틴 탑,용감한 형제,용감한 형제,용감한 형제
27,에피톤 프로젝트,NaN,NaN,NaN
28,원더걸스,김은수,Mr. Cho,Mr. Cho
29,에이핑크,Rado,Rado,Rado
30,에피톤 프로젝트,NaN,NaN,NaN
31,울랄라세션,싸이 ,Kenny Loggins,유건형
32,다비치,송재원,송봉조,송봉조
33,정인,윤종신,이근호,조정치
34,원더걸스,핫펠트,핫펠트,핫펠트
35,아이유,아이유,아이유,G.고릴라
36,에피톤 프로젝트,NaN,NaN,NaN
37,에피톤 프로젝트,NaN,NaN,NaN
38,에피톤 프로젝트,NaN,NaN,NaN
39,리쌍,김종진,김종진,NaN
40,달샤벳,이트라이브,이트라이브,이트라이브
41,박진영,박진영,박진영,박진영
42,리쌍,개리,길,NaN
43,버스커 버스커,장범준,장범준,장범준
44,에피톤 프로젝트,NaN,NaN,NaN
45,형돈이와 대준이,NaN,NaN,NaN
46,형돈이와 대준이,NaN,NaN,NaN
47,f,서지음,Joachim Vermeulen Windsant,Joachim Vermeulen Windsant
48,에피톤 프로젝트,NaN,NaN,NaN
49,B1A4,NaN,NaN,NaN
1,f,서지음,Joachim Vermeulen Windsant,Joachim Vermeulen Windsant
2,BIGBANG,G-DRAGON,G-DRAGON,P.K
3,원더걸스,박진영,박진영,박진영
4,형돈이와 대준이,NaN,NaN,NaN
5,버벌진트,버벌진트,버벌진트,버벌진트
6,에피톤 프로젝트,NaN,NaN,NaN
7,BIGBANG,G-DRAGON,DEE. P,DEE. P
8,비스트,송수윤,한재호,한재호
9,울랄라세션,홍진영,홍진영,홍진영
10,아이유,김이나,박근태,김도훈
11,f,Misfit,Amy Kabba,Polar Monkeys
12,신보라,서해원,Brandon Fraley,Brandon Fraley
13,BIGBANG,G-DRAGON,TEDDY,TEDDY
14,윤하,양재선,김병석,김병석
15,BIGBANG,G-DRAGON,G-DRAGON,함승천
16,지나,최갑원,김도훈,김도훈
17,f,Kenzie,Kenzie,Kenzie
18,인피니트,송수윤,한재호,한재호
19,원더걸스,핫펠트,핫펠트,이우민 'Collapsedone'
20,씨스타,용감한 형제,용감한 형제,용감한 형제
